client_id,meal_id,meal_number,table_id,total_meals,pre_post_neither_off,protein_split,carbs_split,fats_split
1,1,1,1,3,post,0.333333333,0.5,0.333333333
1,2,2,1,3,neither,0.333333333,0.25,0.333333333
1,3,3,1,3,neither,0.333333333,0.25,0.333333333
1,4,1,2,3,pre,0.333333333,0.3,0.5
1,5,2,2,3,post,0.333333333,0.4,0
1,6,3,2,3,neither,0.333333333,0.3,0.5
1,7,1,3,3,neither,0.333333333,0.3,0.5
1,8,2,3,3,pre,0.333333333,0.3,0.5
1,9,3,3,3,post,0.333333333,0.4,0
1,10,1,4,3,off,0.333333333,0.33,0.33
1,11,2,4,3,off,0.333333333,0.33,0.33
1,12,3,4,3,off,0.333333333,0.33,0.33
1,13,1,5,4,post,0.25,0.4,0
1,14,2,5,4,neither,0.25,0.2,0.33
1,15,3,5,4,neither,0.25,0.2,0.33
1,16,4,5,4,neither,0.25,0.2,0.33
1,17,1,6,4,pre,0.25,0.25,0.33
1,18,2,6,4,post,0.25,0.4,0
1,19,3,6,4,neither,0.25,0.15,0.33
1,20,4,6,4,neither,0.25,0.2,0.33
1,21,1,7,4,neither,0.25,0.15,0.33
1,22,2,7,4,pre,0.25,0.3,0.33
1,23,3,7,4,post,0.25,0.4,0
1,24,4,7,4,neither,0.25,0.15,0.33
1,25,1,8,4,neither,0.25,0.15,0.33
1,26,2,8,4,neither,0.25,0.15,0.33
1,27,3,8,4,pre,0.25,0.3,0.33
1,28,4,8,4,post,0.25,0.4,0
1,29,1,9,4,off,0.25,0.25,0.25
1,30,2,9,4,off,0.25,0.25,0.25
1,31,3,9,4,off,0.25,0.25,0.25
1,32,4,9,4,off,0.25,0.25,0.25
1,33,1,10,5,post,0.2,0.4,0
1,34,2,10,5,neither,0.2,0,0.25
1,35,3,10,5,neither,0.2,0.2,0.25
1,36,4,10,5,neither,0.2,0.2,0.25
1,37,5,10,5,neither,0.2,0.2,0.25
1,38,1,11,5,pre,0.2,0.2,0.25
1,39,2,11,5,post,0.2,0.3,0
1,40,3,11,5,neither,0.2,0,0.25
1,41,4,11,5,neither,0.2,0.1,0.25
1,42,5,11,5,neither,0.2,0.4,0.25
1,43,1,12,5,neither,0.2,0.2,0.25
1,44,2,12,5,pre,0.2,0.3,0.25
1,45,3,12,5,post,0.2,0.4,0
1,46,4,12,5,neither,0.2,0,0.25
1,47,5,12,5,neither,0.2,0.1,0.25
1,48,1,13,5,neither,0.2,0.2,0.2
1,49,2,13,5,neither,0.2,0,0.2
1,50,3,13,5,pre,0.2,0.3,0.2
1,51,4,13,5,post,0.2,0.4,0.2
1,52,5,13,5,neither,0.2,0.1,0.2
1,53,1,14,5,neither,0.2,0.2,0.25
1,54,2,14,5,neither,0.2,0,0.25
1,55,3,14,5,neither,0.2,0.1,0.25
1,56,4,14,5,pre,0.2,0.3,0.25
1,57,5,14,5,post,0.2,0.4,0
1,58,1,15,5,off,0.2,0.2,0.2
1,59,2,15,5,off,0.2,0.2,0.2
1,60,3,15,5,off,0.2,0.2,0.2
1,61,4,15,5,off,0.2,0.2,0.2
1,62,5,15,5,off,0.2,0.2,0.2
1,63,1,16,6,post,0.17,0.4,0
1,64,2,16,6,neither,0.17,0,0.2
1,65,3,16,6,neither,0.17,0.2,0.2
1,66,4,16,6,neither,0.17,0.2,0.2
1,67,5,16,6,neither,0.17,0,0.2
1,68,6,16,6,neither,0.17,0.2,0.2
1,69,1,17,6,pre,0.17,0.3,0.2
1,70,2,17,6,post,0.17,0.4,0
1,71,3,17,6,neither,0.17,0,0.2
1,72,4,17,6,neither,0.17,0,0.2
1,73,5,17,6,neither,0.17,0.15,0.2
1,74,6,17,6,neither,0.17,0.15,0.2
1,75,1,18,6,neither,0.17,0.15,0.2
1,76,2,18,6,pre,0.17,0.3,0.2
1,77,3,18,6,post,0.17,0.4,0
1,78,4,18,6,neither,0.17,0,0.2
1,79,5,18,6,neither,0.17,0,0.2
1,80,6,18,6,neither,0.17,0.15,0.2
1,81,1,19,6,neither,0.17,0.15,0.2
1,82,2,19,6,neither,0.17,0,0.2
1,83,3,19,6,pre,0.17,0.3,0.2
1,84,4,19,6,post,0.17,0.4,0
1,85,5,19,6,neither,0.17,0,0.2
1,86,6,19,6,neither,0.17,0.15,0.2
1,87,1,20,6,neither,0.17,0.15,0.2
1,88,2,20,6,neither,0.17,0,0.2
1,89,3,20,6,neither,0.17,0.15,0.2
1,90,4,20,6,pre,0.17,0.3,0.2
1,91,5,20,6,post,0.17,0.4,0
1,92,6,20,6,neither,0.17,0,0.2
1,93,1,21,6,neither,0.17,0.15,0.2
1,94,2,21,6,neither,0.17,0,0.2
1,95,3,21,6,neither,0.17,0.15,0.2
1,96,4,21,6,neither,0.17,0,0.2
1,97,5,21,6,pre,0.17,0.3,0.2
1,98,6,21,6,post,0.17,0.4,0
1,99,1,22,6,off,0.17,0.17,0.17
1,100,2,22,6,off,0.17,0.17,0.17
1,101,3,22,6,off,0.17,0.17,0.17
1,102,4,22,6,off,0.17,0.17,0.17
1,103,5,22,6,off,0.17,0.17,0.17
1,104,6,22,6,off,0.17,0.17,0.17